"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2015",195,238,125.6936,136.127,4,1218.06803476273,31,0.0380815072900764,9,1405.2261,229,180,116.72531,129.92735,49,NA,72,NA,NA,1,NA,18241.10646,6291.9491,14704.03884,NA,1,NA,"LA3",0
"2016",205,232,122.9373,183.55652,6,526.533338345128,4,0.0242969855124779,38,575.0394,194,127,117.90862,133.7269,67,NA,NA,NA,NA,NA,NA,18241.10646,6291.9491,14704.03884,NA,NA,NA,"LA3",0
"2017",209,228,148.7506,183.46724,3,617.440209438742,16,0.0220731234714677,85,12611.2537,143,72,127.37127,191.94935,71,113,113,113,1,3,1,18241.10646,6291.9491,14704.03884,1,3,1,"LA3",0
"2011",NA,271,NA,NA,1,340.222942724221,3,0.0474769927808996,97,12611.5147,174,128,126.19032,153.51315,46,170,82,170,1,3,1,10237.24192,4517.7136,8632.377,1,3,1,"LA8",0
"2012",177,224,102.7209,108.20968,1,2726.61979852407,4,0.0370897179947218,25,3192.2843,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10237.24192,4517.7136,8632.377,NA,NA,NA,"LA8",0
"2013",200,301,102.081,119.5296,3,586.041336298561,10,0.0117072065266657,80,1141.2452,221,186,109.0196,127.42185,35,NA,NA,NA,NA,NA,NA,10237.24192,4517.7136,8632.377,NA,NA,NA,"LA8",0
"2014",201,213,98.9954,102.6892,2,216.528314311304,8,0.0160624755029577,59,8544.3114,154,19,113.25488,117.4498,135,NA,150,NA,NA,1,NA,10237.24192,4517.7136,8632.377,NA,1,NA,"LA8",0
"2015",194,238,97.4795,107.74945,4,755.328948682725,31,0.0339093296224975,9,980.6434,229,181,94.2283,103.6113,48,NA,72,NA,NA,1,NA,10237.24192,4517.7136,8632.377,NA,1,NA,"LA8",0
"2016",204,230,90.8415,115.50987,2,405.495103250262,4,0.0225532755923998,35,460.3696,195,129,90.73484,98.776,66,NA,NA,NA,NA,NA,NA,10237.24192,4517.7136,8632.377,NA,NA,NA,"LA8",0
"2017",204,230,100.8475,115.50987,3,398.000698425125,16,0.016969881955125,87,8654.3934,143,75,102.63494,135.2494,68,NA,113,139,NA,3,1,10237.24192,4517.7136,8632.377,NA,3,1,"LA8",0
