p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
94.298,94.9192,96.34295,100.203825,103.26125,DS_Mag_50,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP100_UBF50
33.43775,34.367775,36.22615,38.919725,40.232625,DS_Mag_50,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP50_UBF0
81.19245,88.58,90.9086,92.89715,106.21425,DS_Mag_50,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP50_UBF100
60.972175,62.4762,63.52295,64.9463875,70.546025,DS_Mag_50,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP50_UBF50
3.08271,3.139735,3.34933,3.902515,4.81857,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP0_UBF0
44.23229,46.54769,51.797505,58.43437,67.23418,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP0_UBF100
24.79307,26.554585,28.19358,31.5179975,35.87267,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP0_UBF50
67.228785,69.9579775,75.04606,76.77187,78.04982,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP100_UBF0
116.140105,116.5400425,119.95208,132.224505,143.301905,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP100_UBF100
92.43478,93.9171525,99.593765,105.15739,110.930945,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP100_UBF50
35.249315,36.797465,39.79019,40.1550875,40.94888,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP50_UBF0
82.52484,85.3276175,87.971025,95.5774825,105.4162,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP50_UBF100
59.95349,61.0312625,63.66475,67.984275,73.69426,Wet_BFL_Mag_10,22518268,observed,SUSTAIN_Junction_27,F34D,Baseline_WRP50_UBF50
0.0149,0.02,0.025,0.045,0.06,DS_Mag_50,22518270,observed,SUSTAIN_Junction_29,F45B,Baseline_WRP0_UBF0
