scenario,dry_season,wet_season,spring
245,13.23444376,16.6725275,13.97170836
246,22.45155574,25.13592084,22.93203784
247,21.56961658,24.39688743,22.0921629
248,14.89854274,18.57174634,15.68309043
249,18.78635105,22.45288201,19.53866456
250,38.48428381,40.29555937,38.62306319
251,14.93111813,16.78831334,15.26748107
252,40.50895941,42.60523374,40.70411086
253,27.19279578,29.74039815,27.60410945
254,38.71750219,40.86749099,38.93832174
255,32.08718983,35.3495636,32.63283104
256,14.52766348,17.09217846,15.04163466
257,15.26826793,16.65813231,15.48743671
258,35.77301262,37.74113176,35.97140961
259,25.56680708,29.46726631,26.3222195
260,45.28057925,47.0150043,45.34630075
261,63.21119092,69.86632027,64.34467632
262,16.747593,20.2558479,17.47694291
263,37.27678698,40.2073862,37.7008566
264,53.63727022,56.16885263,53.83488672
265,19.17739845,23.67665229,20.13088365
266,50.56671527,55.39150884,51.35369842
267,42.4072956,48.88487466,43.66193691
268,19.47194943,21.54609432,19.8252113
269,27.04930983,28.63146197,27.22324563
270,28.89362362,32.3333674,29.50743587
271,19.28833722,24.76410775,20.48008586
272,39.46959547,41.22761603,39.5896772
273,42.3365684,44.50846139,42.53420326
274,49.86805742,56.4362454,51.08642445
275,43.19017819,48.37968652,44.12380152
276,49.74126115,54.30673142,50.4705282
277,18.86894164,21.1303964,19.27566561
278,50.22063221,55.43308144,51.10352087
279,37.72762885,38.6387461,37.65237067
280,35.94829562,41.57653598,37.04509523
281,39.96645562,44.79849142,40.83684421
282,11.58808333,15.01712542,12.33746551
283,13.51589382,14.99103124,13.76948876
284,16.72657063,17.27834897,16.72953215
285,37.44809012,41.57543293,38.16423368
286,45.06471474,45.66361017,44.85533409
287,11.92793197,14.28780175,12.41303707
288,23.04321443,29.08486139,24.34347469
289,24.45624597,27.78750384,25.08205665
290,57.68285052,61.60775627,58.18991049
291,47.26483165,48.25420802,47.13498708
292,22.82102717,26.07279998,23.43786285
293,22.67172331,24.33668376,22.90106763
294,40.70963664,46.32574552,41.76726104
295,52.80207326,56.08034725,53.19017182
296,33.82277769,38.16582847,34.62007017
297,32.32791231,35.0421448,32.74002108
298,43.50703387,44.50220824,43.40692346
299,31.55877241,36.268978,32.4646676
300,47.9345753,52.17509708,48.59606614
301,29.29148082,33.98133701,30.20976477
302,15.83754758,17.32087549,16.07712283
303,58.65919358,64.42916661,59.61252497
304,53.37612863,55.8198365,53.55336446
305,23.38634548,28.32398418,24.41184961
306,17.60051013,22.81231358,18.73953901
307,47.406573,48.37929553,47.26991061
308,23.06531137,26.45652916,23.71480001
309,33.84272905,37.20585451,34.39901586
310,43.92464946,44.15665348,43.63438827
311,26.09573958,32.5265727,27.46703775
312,46.02626667,46.34845624,45.74170199
313,9.139461847,11.35250238,9.60882486
314,25.05579934,30.87915231,26.28788052
315,0.992694584,1.168717662,1.028099248
316,36.82461834,41.3567695,37.64500804
317,17.55122783,21.34278841,18.3424744
