"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2011",NA,271,NA,NA,1,277.707204436347,3,0.0541815759612711,97,12276.3361,174,128,86.348,114.20325,46,170,82,170,1,3,1,9974.67172,4312.7208,8403.9267,1,3,1,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",183,224,66.6683,71.81136,3,2546.23859293488,4,0.0613083906211166,25,3044.633,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9974.67172,4312.7208,8403.9267,NA,NA,NA,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",200,300,66.2073,82.14873,3,510.648756504059,10,0.0148585305073318,79,1010.2944,221,180,73.622,88.31,41,NA,NA,NA,NA,NA,NA,9974.67172,4312.7208,8403.9267,NA,NA,NA,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",201,213,64.6851,68.1255,2,166.452470266874,8,0.0306276585890685,59,8258.7183,154,20,75.56725,78.1311,134,NA,150,NA,NA,1,NA,9974.67172,4312.7208,8403.9267,NA,1,NA,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",194,238,65.374,72.36234,4,667.434498709863,31,0.0409368813304615,9,869.5709,229,181,60.5341,67.9033,48,NA,72,NA,NA,1,NA,9974.67172,4312.7208,8403.9267,NA,1,NA,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",204,230,59.84565,84.7382,3,336.26910621772,4,0.0211623630161923,35,389.9794,195,129,58.85998,65.129,66,NA,NA,NA,NA,NA,NA,9974.67172,4312.7208,8403.9267,NA,NA,NA,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",204,230,71.37365,84.7382,2,336.013107893225,16,0.0178870565417031,87,8440.2288,143,75,67.94218,99.5519,68,NA,113,139,NA,3,1,9974.67172,4312.7208,8403.9267,NA,3,1,"LA8","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",NA,258,NA,NA,1,311.422923238793,3,0.0512374508908287,83,3325.2225,175,114,112.71605,130.2985,61,170,82,170,1,3,1,11199.47708,5336.6499,9630.9112,1,3,1,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",162,245,90.53325,97.98468,3,3328.78070975623,4,0.0233042466306798,33,670.6475,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11199.47708,5336.6499,9630.9112,NA,NA,NA,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",199,301,74.1713,111.00968,3,797.885772255754,10,0.0190350824467825,80,1223.0143,221,180,87.28419,109.19005,41,NA,NA,NA,NA,NA,NA,11199.47708,5336.6499,9630.9112,NA,NA,NA,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",201,214,87.9274,97.8695,2,175.698230776219,8,0.0219285046645155,60,9520.5992,154,20,97.79665,100.858,134,NA,150,NA,NA,1,NA,11199.47708,5336.6499,9630.9112,NA,1,NA,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",195,238,93.0634,103.65332,4,870.374444887502,31,0.0245724596758772,9,1151.1644,229,180,80.21739,92.7891,49,NA,72,NA,NA,1,NA,11199.47708,5336.6499,9630.9112,NA,1,NA,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",203,232,91.2029,152.9731,3,414.24698467603,4,0.018665359092404,37,462.2017,195,128,84.07356,98.64205,67,NA,NA,NA,NA,NA,NA,11199.47708,5336.6499,9630.9112,NA,NA,NA,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",206,229,118.9448,152.9572,2,442.065437389027,16,0.0180536785622972,86,9658.4892,143,74,87.54686,125.84195,69,NA,113,139,NA,3,1,11199.47708,5336.6499,9630.9112,NA,3,1,"F34D","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",193,182,0.07,0.17,4,2.72477480265671,4,0.922316049930768,98,7391.875,84,22,0.73771,1.07535,62,NA,86,79,NA,7,2,10065.45284,347.1308,6295.2698,NA,3,1,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",NA,222,NA,NA,6,1908.78088553212,4,0.143599203844847,10,54.3897,212,203,0.02,0.2034,9,NA,4,NA,NA,1,NA,10065.45284,347.1308,6295.2698,NA,1,NA,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",170,244,0.05,0.12816,6,346.766296850915,10,0.298469387755102,23,56.8279,221,NA,NA,NA,NA,NA,10,NA,NA,1,NA,10065.45284,347.1308,6295.2698,NA,1,NA,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",194,196,0.0098,0.07056,NA,NA,NA,0.403873308017683,42,271.0803,154,106,0,0.03605,48,NA,NA,NA,NA,NA,NA,10065.45284,347.1308,6295.2698,NA,NA,NA,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",252,197,0.02,0.04,NA,NA,NA,0.555956678700361,41,48.5325,156,132,0,0.02,24,NA,NA,NA,NA,NA,NA,10065.45284,347.1308,6295.2698,NA,NA,NA,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",294,170,0.02,0.06,NA,NA,NA,0.25,70,84.1968,100,17,0.01684,0.02,83,NA,NA,NA,NA,NA,NA,10065.45284,347.1308,6295.2698,NA,NA,NA,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",312,152,0.03,0.10765,3,37.8631356419427,50,0.395486388915992,35,14075.8196,117,19,0.06684,7.4832,98,113,113,113,1,4,1,10065.45284,347.1308,6295.2698,1,3,1,"F45B","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",NA,256,NA,NA,1,317.173982407307,3,0.0511018144085336,81,4164.7944,175,114,119.10642,141.33315,61,NA,124.5,79,NA,5,1,17847.79218,5969.0306,14293.2616,NA,2,1,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",160,247,95.58895,101.89095,3,5449.47736605411,4,0.0229514766841888,35,837.0179,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17847.79218,5969.0306,14293.2616,NA,NA,NA,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",150,351,75.39585,114.75697,3,1250.54054271833,10,0.0183839660968189,130,1334.7486,221,180,110.88334,131.0902,41,NA,NA,NA,NA,NA,NA,17847.79218,5969.0306,14293.2616,NA,NA,NA,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",201,214,87.9274,97.8795,2,180.318155227767,8,0.0222706091721784,60,10228.0156,154,19,98.02368,101.4207,135,NA,150,NA,NA,1,NA,17847.79218,5969.0306,14293.2616,NA,1,NA,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",195,238,93.143,103.72828,4,1059.41971300464,31,0.0315089346719577,9,1227.0765,229,180,81.36095,93.23535,49,NA,72,NA,NA,1,NA,17847.79218,5969.0306,14293.2616,NA,1,NA,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",205,232,91.876,152.9925,3,428.74848940851,4,0.018665359092404,37,480.6213,195,128,85.06312,99.9307,67,NA,NA,NA,NA,NA,NA,17847.79218,5969.0306,14293.2616,NA,NA,NA,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",209,228,119.1189,152.9713,2,507.924133698938,16,0.0204577191536975,85,12273.2457,143,72,91.05945,145.9994,71,113,113,113,1,3,1,17847.79218,5969.0306,14293.2616,1,3,1,"LA3","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",NA,242,NA,NA,1,319.816748987348,3,0.0560203991606327,67,4543.6358,175,114,120.2064,149.1861,61,NA,124.5,79,NA,5,1,19879.78776,6743.0173,16161.4263,NA,2,1,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",153,247,97.4293,102.8982,3,5687.60340985704,4,0.0217770744049397,35,992.4447,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19879.78776,6743.0173,16161.4263,NA,NA,NA,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",150,351,76.77465,116.45615,3,1410.100978082,10,0.0188791420132153,130,1393.9647,221,187,116.10204,138.9472,34,NA,NA,NA,NA,NA,NA,19879.78776,6743.0173,16161.4263,NA,NA,NA,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",202,214,87.97855,98.47548,2,182.291058089504,8,0.0227913791656716,60,10869.1331,154,19,98.03,101.4207,135,NA,150,NA,NA,1,NA,19879.78776,6743.0173,16161.4263,NA,1,NA,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",194,239,93.4489,104.16213,4,1185.5607912635,31,0.0245056802327022,10,1324.015,229,179,82.23402,93.9005,50,NA,72,NA,NA,1,NA,19879.78776,6743.0173,16161.4263,NA,1,NA,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",206,231,91.88885,153.5538,3,452.853251953974,4,0.0207239631995422,37,517.3965,194,127,85.18,100.036,67,NA,NA,NA,NA,NA,NA,19879.78776,6743.0173,16161.4263,NA,NA,NA,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",209,228,119.3987,153.5136,2,618.026009322595,16,0.0256547528949724,85,13471.0172,143,72,92.64123,168.73115,71,113,113,113,1,3,1,19879.78776,6743.0173,16161.4263,1,3,1,"F319","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",NA,242,NA,NA,1,319.836163353909,3,0.0560203991606327,67,4558.6639,175,114,120.26808,149.1861,61,NA,124.5,79,NA,5,1,19976.04814,6780.955,16202.13128,NA,2,1,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",153,247,97.4293,102.8982,3,5696.01956137856,4,0.0217770744049397,35,999.299,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19976.04814,6780.955,16202.13128,NA,NA,NA,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",150,351,76.77465,116.45755,3,1431.2625359502,10,0.0188791420132153,130,1403.6432,221,187,116.10204,138.9472,34,NA,NA,NA,NA,NA,NA,19976.04814,6780.955,16202.13128,NA,NA,NA,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",201,214,87.9274,97.8795,2,182.38505909447,8,0.0227913791656716,60,10897.9032,154,19,98.03,101.4207,135,NA,150,NA,NA,1,NA,19976.04814,6780.955,16202.13128,NA,1,NA,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",194,239,93.4489,104.16213,4,1190.86950614957,31,0.0245056802327022,10,1337.1799,229,180,82.38276,94.01895,49,NA,72,NA,NA,1,NA,19976.04814,6780.955,16202.13128,NA,1,NA,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",206,231,91.88885,153.57445,3,453.537918841523,4,0.0207239631995422,37,518.2076,194,127,85.18,100.036,67,NA,NA,NA,NA,NA,NA,19976.04814,6780.955,16202.13128,NA,NA,NA,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",209,228,119.3987,153.54664,2,621.958710381412,16,0.0256537370260845,85,13535.0635,143,72,92.64123,168.84135,71,113,113,113,1,3,1,19976.04814,6780.955,16202.13128,1,3,1,"LA2","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",NA,242,NA,NA,1,319.822342543969,3,0.0560203991606327,67,4569.4423,175,114,120.26808,149.18665,61,NA,124.5,79,NA,5,1,20271.48252,6864.7343,16335.91212,NA,2,1,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2012",153,247,97.4293,102.8982,3,5700.15122306978,4,0.0217770744049397,35,1003.3284,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20271.48252,6864.7343,16335.91212,NA,NA,NA,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2013",150,351,76.77465,116.4685,3,1437.59947213169,10,0.0188791420132153,130,1408.6552,221,187,116.10204,138.9472,34,NA,NA,NA,NA,NA,NA,20271.48252,6864.7343,16335.91212,NA,NA,NA,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2014",201,214,87.9274,97.8795,2,182.398801547476,8,0.0228103014264507,60,10926.8038,154,19,98.03,101.4207,135,NA,150,NA,NA,1,NA,20271.48252,6864.7343,16335.91212,NA,1,NA,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2015",194,239,93.4489,104.16213,4,1193.77361254624,31,0.0245056802327022,10,1343.7712,229,180,82.38276,94.01895,49,NA,72,NA,NA,1,NA,20271.48252,6864.7343,16335.91212,NA,1,NA,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2016",206,231,91.88885,153.67105,3,453.896477901822,4,0.0207239631995422,37,518.618,194,127,85.18,100.0508,67,NA,NA,NA,NA,NA,NA,20271.48252,6864.7343,16335.91212,NA,NA,NA,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2017",209,228,119.3987,153.6409,2,624.914015976373,16,0.0256794713557936,85,13757.5861,143,72,92.64123,169.0848,71,113,113,113,1,3,1,20271.48252,6864.7343,16335.91212,1,3,1,"LA1","Aggressive_non_Infiltration_WRP50_UBF100"
"2011",NA,240,NA,NA,3,309.006781572898,5,0.135694939415538,66,3803.5762,174,113,5.18096,11.3482,61,170,124.5,170,1,2,1,3542.0017,1231.6802,3157.2273,1,2,1,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",178,221,4.0791,5.03958,3,611.459607781065,4,0.13586840418714,22,1119.8572,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3542.0017,1231.6802,3157.2273,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",165,333,3.2564,6.17388,3,33.3218385990294,10,0.0824593156874307,112,251.5332,221,188,2.66944,6.24605,33,NA,NA,NA,NA,NA,NA,3542.0017,1231.6802,3157.2273,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",111,305,3.1947,4.2981,3,8.71465674828784,8,0.0809573841397091,151,2315.6617,154,22,5.99749,7.52385,132,NA,150,NA,NA,1,NA,3542.0017,1231.6802,3157.2273,NA,1,NA,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",193,239,0.3991,1.65676,4,110.736366855743,30,0.16273920174959,84,569.6496,155,105,3.69258,6.4957,50,NA,72,NA,NA,1,NA,3542.0017,1231.6802,3157.2273,NA,1,NA,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",206,230,1.35415,2.9376,2,48.5648479766158,4,0.110013167023176,35,107.552,195,129,0.64094,3.204,66,NA,NA,NA,NA,NA,NA,3542.0017,1231.6802,3157.2273,NA,NA,NA,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",232,204,1.2963,3.39336,2,120.146092100745,16,0.131368520173166,61,3367.6187,143,73,0.06538,14.5739,70,NA,113,139,NA,3,1,3542.0017,1231.6802,3157.2273,NA,3,1,"LA20","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,240,NA,NA,3,441.360665879708,5,0.0575949466703741,66,6287.2252,174,113,16.9271,23.9661,61,170,124.5,170,1,2,1,5292.19204,1887.216,4454.2344,1,2,1,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",178,221,17.7955,19.26247,3,956.718782260009,4,0.0519636358249344,22,1578.9043,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5292.19204,1887.216,4454.2344,NA,NA,NA,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",233,266,16.0243,18.50924,6,71.8264711493397,10,0.0281529845973689,45,441.4334,221,188,12.31753,18.19085,33,NA,NA,NA,NA,NA,NA,5292.19204,1887.216,4454.2344,NA,NA,NA,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",129,287,16.6703,18.02322,4,32.1677707413713,8,0.0239352659851764,133,3755.8256,154,21,18.6625,21.0851,133,NA,150,NA,NA,1,NA,5292.19204,1887.216,4454.2344,NA,1,NA,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",194,239,11.7075,13.22148,5,162.304659821927,30,0.0343920127656985,84,871.9838,155,105,7.14444,20.2791,50,NA,72,NA,NA,1,NA,5292.19204,1887.216,4454.2344,NA,1,NA,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",207,229,13.9842,15.89166,3,62.3066539182447,4,0.0171426492523738,34,162.7823,195,128,11.96598,14.7337,67,NA,NA,NA,NA,NA,NA,5292.19204,1887.216,4454.2344,NA,NA,NA,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",231,205,13.7545,16.1158,2,177.7943912407,16,0.0296022418514454,62,4628.8366,143,73,12.8385,28.5615,70,NA,113,139,NA,3,1,5292.19204,1887.216,4454.2344,NA,3,1,"LA20_2","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,239,NA,NA,1,104.236941685331,3,0.11898719831028,65,9124.8703,174,114,28.70418,40.62955,60,170,124.5,170,1,2,1,7275.59056,2696.2106,5965.23752,1,2,1,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",180,221,30.05,31.94933,1,1484.78619864567,4,0.0896168007413055,22,2192.4852,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7275.59056,2696.2106,5965.23752,NA,NA,NA,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",254,244,33.09785,39.89217,3,104.13870074663,10,0.0024046019691093,23,633.1143,221,186,32.4959,38.02975,35,NA,NA,NA,NA,NA,NA,7275.59056,2696.2106,5965.23752,NA,NA,NA,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",126,288,28.81025,30.2835,3,85.615571797507,8,0.0067097271776759,134,5655.238,154,22,33.89028,35.05285,132,NA,150,NA,NA,1,NA,7275.59056,2696.2106,5965.23752,NA,1,NA,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",195,237,27.6315,32.59048,3,293.621742394797,31,0.020000359266378,82,1224.6382,155,107,28.44938,32.8814,48,NA,72,NA,NA,1,NA,7275.59056,2696.2106,5965.23752,NA,1,NA,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",205,229,24.6599,26.01736,2,98.465961725562,4,0.0149251845946356,34,241.7659,195,129,22.8778,26.0244,66,NA,NA,NA,NA,NA,NA,7275.59056,2696.2106,5965.23752,NA,NA,NA,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",202,232,26.2686,29.5412,4,230.253840513815,16,0.0166549374156402,89,6042.7374,143,75,32.35538,44.9177,68,NA,113,139,NA,3,1,7275.59056,2696.2106,5965.23752,NA,3,1,"F300","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,267,NA,NA,1,160.608052857895,3,0.0857388470488298,93,10639.6026,174,113,42.50176,60.6592,61,170,124.5,170,1,2,1,8511.70602,3204.6072,7007.11226,1,2,1,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",180,221,34.9586,37.21464,1,1767.07239555707,4,0.0956841984117849,22,2592.8699,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8511.70602,3204.6072,7007.11226,NA,NA,NA,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",234,267,38.2989,47.52247,3,129.270727679556,10,0.00347901717764729,46,745.8211,221,186,38.73055,45.6961,35,NA,NA,NA,NA,NA,NA,8511.70602,3204.6072,7007.11226,NA,NA,NA,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",203,211,34.653,36.67976,3,122.7593422624,8,0.0243972796965103,57,6663.1281,154,19,39.09152,40.4452,135,NA,150,NA,NA,1,NA,8511.70602,3204.6072,7007.11226,NA,1,NA,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",195,237,31.8385,36.97158,2,412.770053267377,31,0.0213473466588471,82,1432.803,155,107,33.71378,37.8385,48,NA,72,NA,NA,1,NA,8511.70602,3204.6072,7007.11226,NA,1,NA,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",206,229,28.4042,30.3326,2,169.578609153916,4,0.00792313574676429,34,275.5526,195,129,27.42962,30.8245,66,NA,NA,NA,NA,NA,NA,8511.70602,3204.6072,7007.11226,NA,NA,NA,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",237,198,30.2027,32.96314,3,250.762800554531,16,0.01661457315882,55,7093.1083,143,74,38.50772,52.21995,69,NA,113,139,NA,3,1,8511.70602,3204.6072,7007.11226,NA,3,1,"LA14","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,269,NA,NA,1,195.219232752491,3,0.0811206652384084,95,11172.0591,174,128,42.51185,62.0094,46,170,124.5,170,1,2,1,8929.07094,3454.9411,7368.9034,1,2,1,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",179,222,35.3251,37.61636,1,1891.64487801873,4,0.0877172653534183,23,2709.7844,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8929.07094,3454.9411,7368.9034,NA,NA,NA,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",241,261,39.0766,48.8247,3,216.871314028484,10,0.00270809198914037,40,793.9631,221,186,39.69215,46.5972,35,NA,NA,NA,NA,NA,NA,8929.07094,3454.9411,7368.9034,NA,NA,NA,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",60,354,31.70585,34.40053,3,137.929558246053,8,0.00982552491165912,200,7109.535,154,18,40.22783,41.9839,136,NA,150,NA,NA,1,NA,8929.07094,3454.9411,7368.9034,NA,1,NA,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",194,237,32.4266,36.93045,2,475.849059281705,31,0.0220551783597369,82,1474.7922,155,107,34.2217,38.4361,48,NA,72,NA,NA,1,NA,8929.07094,3454.9411,7368.9034,NA,1,NA,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",206,229,29.299,31.2335,2,194.598880175442,4,0.00616411612251198,34,296.0878,195,130,28.21056,31.73675,65,NA,NA,NA,NA,NA,NA,8929.07094,3454.9411,7368.9034,NA,NA,NA,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",202,233,30.67005,33.05961,3,260.240003419804,16,0.0162653771164551,90,7433.7455,143,74,39.25457,53.08615,69,NA,113,139,NA,3,1,8929.07094,3454.9411,7368.9034,NA,3,1,"LA13","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,268,NA,NA,1,207.573758236144,3,0.0842800450547956,94,11225.2009,174,128,55.03606,74.0736,46,170,124.5,170,1,2,1,8974.9861,3484.6472,7410.69128,1,2,1,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",179,222,43.4022,45.71246,1,1917.94212283607,4,0.0682521393291983,23,2730.7036,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8974.9861,3484.6472,7410.69128,NA,NA,NA,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",240,262,46.8231,56.8017,3,229.340456211557,10,0.011311219644553,41,807.6253,221,186,48.24905,57.4406,35,NA,NA,NA,NA,NA,NA,8974.9861,3484.6472,7410.69128,NA,NA,NA,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",204,211,42.0117,44.72033,2,147.402248014811,8,0.0161498803361132,57,7154.0848,154,18,49.1662,51.60595,136,NA,150,NA,NA,1,NA,8974.9861,3484.6472,7410.69128,NA,1,NA,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",194,237,39.5942,45.8571,4,491.666908595797,31,0.0218014238870343,82,1490.8005,155,106,41.6388,47.9704,49,NA,72,NA,NA,1,NA,8974.9861,3484.6472,7410.69128,NA,1,NA,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",205,229,35.4161,38.88562,2,207.010229898744,4,0.0282521306607802,34,306.3744,195,130,36.02662,39.6573,65,NA,NA,NA,NA,NA,NA,8974.9861,3484.6472,7410.69128,NA,NA,NA,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",200,234,36.44095,39.91957,3,269.399760801808,16,0.0197030830961419,91,7474.8429,143,75,48.33176,61.9785,68,NA,113,139,NA,3,1,8974.9861,3484.6472,7410.69128,NA,3,1,"GLEN","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,268,NA,NA,1,218.697707715945,3,0.0825553158312588,94,11390.6237,174,128,56.52735,75.51885,46,170,124.5,170,1,2,1,9137.16332,3573.2721,7572.76144,1,2,1,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",179,222,44.7352,46.98286,1,1984.56821655048,4,0.0665853902058362,23,2778.5002,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9137.16332,3573.2721,7572.76144,NA,NA,NA,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",243,259,48.185,58.5774,3,246.109734548461,10,0.0110572443271313,38,824.4085,221,186,49.61975,58.9974,35,NA,NA,NA,NA,NA,NA,9137.16332,3573.2721,7572.76144,NA,NA,NA,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",204,211,43.28525,46.01737,2,149.04200219981,8,0.015696216021248,57,7324.3816,154,18,50.64363,53.08335,136,NA,150,NA,NA,1,NA,9137.16332,3573.2721,7572.76144,NA,1,NA,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",193,238,40.903,47.1472,4,516.370858412549,31,0.0209588251761485,83,1515.5455,155,106,43.1268,49.48045,49,NA,72,NA,NA,1,NA,9137.16332,3573.2721,7572.76144,NA,1,NA,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2016",205,229,36.6994,40.5014,2,218.466338790457,4,0.0272660690177851,34,312.4476,195,130,37.54773,41.1225,65,NA,NA,NA,NA,NA,NA,9137.16332,3573.2721,7572.76144,NA,NA,NA,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2017",200,234,37.78365,41.32318,3,274.279763489346,16,0.0191056716507914,91,7634.8564,143,75,49.85754,63.4559,68,NA,113,139,NA,3,1,9137.16332,3573.2721,7572.76144,NA,3,1,"LA11","Aggressive_non_Infiltration_WRP50_UBF50"
"2011",NA,268,NA,NA,1,242.012110185265,3,0.0802030371816026,94,11781.0757,174,128,58.23035,77.20185,46,170,124.5,170,1,2,1,9482.00152,3858.1794,7903.82816,1,2,1,"F57C","Aggressive_non_Infiltration_WRP50_UBF50"
"2012",178,223,46.35415,48.55455,1,2177.54227163491,4,0.0693002039792762,24,2877.045,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9482.00152,3858.1794,7903.82816,NA,NA,NA,"F57C","Aggressive_non_Infiltration_WRP50_UBF50"
"2013",265,237,50.423,61.31278,3,347.650578760473,10,0.0111555555555556,16,879.6678,221,186,51.24925,60.72865,35,NA,NA,NA,NA,NA,NA,9482.00152,3858.1794,7903.82816,NA,NA,NA,"F57C","Aggressive_non_Infiltration_WRP50_UBF50"
"2014",204,211,44.8852,47.61488,2,151.908568054661,8,0.0151889847634196,57,7721.9992,154,18,52.34,54.77975,136,NA,150,NA,NA,1,NA,9482.00152,3858.1794,7903.82816,NA,1,NA,"F57C","Aggressive_non_Infiltration_WRP50_UBF50"
"2015",193,238,42.4973,48.91464,4,568.856247382136,31,0.0412937203587251,9,680.9415,229,180,41.10486,47.4237,49,NA,72,NA,NA,1,NA,9482.00152,3858.1794,7903.82816,NA,1,NA,"F57C","Aggressive_non_Infiltration_WRP50_UBF50"
