"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2013",272,231,0.2841,0.96491,3,10.0818522582624,5,-0.291318828034449,10,705.8374,221,187,-0.04702,0.4715,34,NA,NA,NA,NA,NA,NA,8442.82452,3163.4862,6960.03154,NA,NA,NA,"LA14","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,193,0.2463,0.4722,4,84.0660072706267,8,0.395526315789474,39,6624.7297,154,17,0.40514,0.5151,137,NA,150,NA,NA,1,NA,8442.82452,3163.4862,6960.03154,NA,1,NA,"LA14","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",195,237,0.146,0.71328,2,382.850140922318,31,0.575873700702702,82,1397.6147,155,105,0.24448,0.4349,50,NA,72,NA,NA,1,NA,8442.82452,3163.4862,6960.03154,NA,1,NA,"LA14","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",206,230,0.1004,0.87185,2,134.384159970265,4,0.4644115545385,35,245.4389,195,129,0.05984,0.2551,66,NA,NA,NA,NA,NA,NA,8442.82452,3163.4862,6960.03154,NA,NA,NA,"LA14","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",209,227,0.3474,1.41148,3,224.119978554621,16,0.244403795704214,84,7043.857,143,73,1.1992,5.368,70,NA,113,139,NA,3,1,8442.82452,3163.4862,6960.03154,NA,3,1,"LA14","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,240,NA,NA,1,155.3116349622,3,0.85340675778785,66,11069.528,174,113,0.25452,2.3423,61,170,124.5,170,1,2,1,8857.3517,3412.7717,7320.08154,1,2,1,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",179,222,0.3553,1.63578,3,1860.42183686043,4,0.745529453015428,23,2662.6336,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8857.3517,3412.7717,7320.08154,NA,NA,NA,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",272,231,0.11215,0.830310000000001,4,190.555140462657,10,-0.123973191168856,10,752.9309,221,186,-0.1334,0.35305,35,NA,NA,NA,NA,NA,NA,8857.3517,3412.7717,7320.08154,NA,NA,NA,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",223,193,0.0664,0.28226,4,98.5647634506742,8,0.498022643660031,39,7070.1377,154,17,0.28016,0.3892,137,NA,150,NA,NA,1,NA,8857.3517,3412.7717,7320.08154,NA,1,NA,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,238,-0.0263,0.572930000000003,2,445.354287391374,31,0.300780703236183,83,1439.141,155,105,0.13988,0.3302,50,NA,72,NA,NA,1,NA,8857.3517,3412.7717,7320.08154,NA,1,NA,"LA13","Aggressive_non_Infiltration_WRP0_UBF0"
