"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
149.6,164.5,194,216.5,224.2,"SP_Tim",22518274,"observed","SWMM
","F319"
45.5,82.5,120.5,166,179.5,"Wet_BFL_Dur",22518274,"observed","SWMM
","F319"
117.585375,121.00052,132.11887,151.91217,157.674265,"Wet_BFL_Mag_10",22518274,"observed","SWMM
","F319"
132.277475,135.505475,160.62725,188.9299625,206.901275,"Wet_BFL_Mag_50",22518274,"observed","SWMM
","F319"
45.5,52,64,70,103,"Wet_Tim",22518274,"observed","SWMM
","F319"
113,113,113,113,113,"Peak_Tim_10",22518274,"observed","SWMM
","F319"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22518274,"observed","SWMM
","F319"
82.4,87.5,96,104.5,109.6,"Peak_Tim_5",22518274,"observed","SWMM
","F319"
1,1,1,1,1,"Peak_Dur_10",22518274,"observed","SWMM
","F319"
1,1,2,3.5,4.4,"Peak_Dur_2",22518274,"observed","SWMM
","F319"
1,1,1,1,1,"Peak_Dur_5",22518274,"observed","SWMM
","F319"
20364.29922,20364.29922,20364.29922,20364.29922,20364.29922,"Peak_10",22518274,"observed","SWMM
","F319"
7132.2474,7132.2474,7132.2474,7132.2474,7132.2474,"Peak_2",22518274,"observed","SWMM
","F319"
16661.08954,16661.08954,16661.08954,16661.08954,16661.08954,"Peak_5",22518274,"observed","SWMM
","F319"
1,1,1,1,1,"Peak_Fre_10",22518274,"observed","SWMM
","F319"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22518274,"observed","SWMM
","F319"
1,1,1,1,1,"Peak_Fre_5",22518274,"observed","SWMM
","F319"
168.5,195.75,200,202.75,204.5,"DS_Dur_WS",22518268,"observed","SWMM
","F34D"
222.6,230.5,238,241.5,266.6,"DS_Tim",22518268,"observed","SWMM
","F34D"
116.690525,122.1878,124.1462,127.02095,137.987,"DS_Mag_50",22518268,"observed","SWMM
","F34D"
133.69452,135.1351075,142.440835,174.8780725,183.53768,"DS_Mag_90",22518268,"observed","SWMM
","F34D"
1.6,2.5,3,5,6.8,"FA_Dur",22518268,"observed","SWMM
","F34D"
318.249515165218,442.821092827937,533.33233392798,966.636886439115,2038.18203048742,"FA_Mag",22518268,"observed","SWMM
","F34D"
3.6,4,8,13,22,"FA_Tim",22518268,"observed","SWMM
","F34D"
