"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
4.3,4.75,7.5,11.5,14.2,"FA_Tim",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
0.877001844699494,0.956008628233933,0.999950642876533,1,1,"SP_ROC",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
13.3,18.25,38.5,58.5,63,"SP_Dur",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
758.6743,1264.27045,3071.95775,5014.962125,5764.12901,"SP_Mag",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
152.3,166.25,186.5,204.5,214.4,"SP_Tim",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
81,93,113,150.5,173,"Wet_BFL_Dur",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
0,0,0,0,0,"Wet_BFL_Mag_10",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
1.45892e-06,3.6473e-06,7.2946e-06,0.3535036473,0.56560145892,"Wet_BFL_Mag_50",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
38.6,47,61,65.5,68.2,"Wet_Tim",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
170,170,170,170,170,"Peak_Tim_10",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
114.15,115.875,118.75,121.625,123.35,"Peak_Tim_2",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_10",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
2.1,2.25,2.5,2.75,2.9,"Peak_Dur_2",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_5",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
5264.68442,5264.68442,5264.68442,5264.68442,5264.68442,"Peak_10",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
1864.72,1864.72,1864.72,1864.72,1864.72,"Peak_2",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
4426.20242,4426.20242,4426.20242,4426.20242,4426.20242,"Peak_5",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_10",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
2.1,2.25,2.5,2.75,2.9,"Peak_Fre_2",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_5",22515812,"observed","SUSTAIN_Junction_19","LA20_2","Aggressive_non_Infiltration_WRP0_UBF0"
187,197.75,214.5,233.5,254.5,"DS_Dur_WS",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
196.6,210,230,234,238.2,"DS_Tim",22514974,"observed","SUSTAIN_Junction_20","F300","Aggressive_non_Infiltration_WRP0_UBF0"
